,id,units,ln_itm_qty,ln_itm_val,pk_price,unit_price,line_itm_ins,ln_itm_weight,ln_itm_freight_cost
0,1,30,19,551.0,29.0,0.97,0.0024500000000000012,13.0,819.9350000000001
1,3,240,1000,6200.0,6.2,0.03,0.0024500000000000012,368.8300707373243,2335.5402068835074
2,4,100,500,40000.0,80.0,0.8,0.0024500000000000012,10671.152041602885,92778.6363892876
3,15,60,31920,127360.8,3.99,0.07,0.0024500000000000012,1916.2850597633826,856061.4787871895
4,16,60,38000,121600.0,3.2,0.05,0.0024500000000000012,3159.9725436760414,73767.19144716657
5,23,240,416,2225.6,5.35,0.02,0.0024500000000000012,156.34922704844448,1137.3320102106416
6,44,90,135,4374.0,32.4,0.36,0.0024500000000000012,15.181561005402097,139.92164797003758
7,45,60,16667,60834.55,3.65,0.06,0.0024500000000000012,1590.2006829882873,15806.705846374472
8,46,60,273,532.35,1.95,0.03,0.0024500000000000012,22.701908011146298,529.9590332914861
9,47,120,2800,115080.0,41.1,0.34,0.0024500000000000012,2572.743225483659,16837.500912546762
10,60,120,2800,115080.0,41.1,0.34,0.0024500000000000012,2572.743225483659,16837.500912546762
11,61,20,2500,100000.0,40.0,2.0,0.0024500000000000012,910.4677241917431,51406.8868300809
12,62,100,10,850.0,85.0,0.85,0.0024500000000000012,12.0,535.7333333333333
13,64,60,10000,99800.0,9.98,0.17,0.0024500000000000012,906.5169553288678,8186.228055300758
14,65,100,750,60000.0,80.0,0.8,0.0024500000000000012,16006.728062404329,139167.9545839314
15,68,60,579,14764.5,25.5,0.42,0.0024500000000000012,124.68589407446251,5423.400568315819
16,69,100,1500,120000.0,80.0,0.8,192.0,32013.456124808657,278335.9091678628
17,80,30,2000,33000.0,16.5,0.55,0.0024500000000000012,674.4206569351419,15526.554274640768
18,87,200,712,8964.08,12.59,0.06,0.0024500000000000012,160.5578231292517,6312.025850340137
19,92,100,1000,80000.0,80.0,0.8,128.0,21342.30408320577,185557.2727785752
20,96,20,7500,202500.0,27.0,1.35,0.0024500000000000012,2429.718106095223,40093.08194616612
21,108,60,5513,140581.5,25.5,0.42,224.93,1187.2078307988113,51639.390903497595
22,115,240,1000,1920.0,1.92,0.01,3.07,368.8300707373243,2335.5402068835074
23,116,120,500,41095.0,82.19,0.68,65.75,459.418433122082,3006.6965915262076
24,130,100,750,53992.5,71.99,0.72,86.39,5345.526722042126,7382.524724940579
25,134,100,25,8750.0,350.0,3.5,14.0,61.327308044827745,2511.5172149174036
26,138,25,10000,200000.0,20.0,0.8,320.0,9152.785274666123,99795.2675306278
27,139,25,10000,200000.0,20.0,0.8,320.0,9152.785274666123,99795.2675306278
28,140,25,10000,200000.0,20.0,0.8,320.0,9152.785274666123,99795.2675306278
29,161,60,64000,99200.0,1.55,0.03,158.72,5322.059020928069,124239.48033206999
30,176,20,10000,270000.0,27.0,1.35,432.0,3239.6241414602973,53457.44259488817
31,262,200,40,317.6,7.94,0.04,0.51,5.8424442371098095,300.15481554694315
32,269,30,1000,17000.0,17.0,0.57,27.2,66.36576816408696,2671.2688592759996
33,270,60,400,3352.0,8.38,0.14,5.36,22.50636120673038,1632.7516283580915
34,284,100,1500,15.0,0.01,0.0,0.02,102.29662792073921,1127.772203811102
35,305,100,650,6.5,0.01,0.0,0.01,44.32853876565366,488.7012883181442
36,343,200,200,340.0,1.7,0.01,0.54,17.443055930191296,831.6410327629499
37,361,100,2,278.0,139.0,1.39,0.44,2.0699673586456058,208.3765638077864
38,391,40,476,36176.0,76.0,1.9,57.88,522.7884965573242,9085.025363662262
39,392,25,659,13180.0,20.0,0.8,25.83,603.1685496004975,6576.508130268371
40,398,100,240,2.4,0.01,0.0,0.0,16.367460467318274,180.4435526097763
41,399,100,213,2.13,0.01,0.0,0.0,14.526121164744968,160.14365294117647
42,400,100,63,13399.25,212.69,2.13,21.44,65.20397179733658,6563.861759945272
43,410,100,1634,117631.66,71.99,0.72,188.21,11646.12088508911,16084.060534070542
44,411,20,1425,38475.0,27.0,1.35,61.56,461.64644015809233,7617.685569771563
45,414,100,142,10222.58,71.99,0.72,16.36,1012.0863927066424,1397.7580145887496
46,420,30,8400,96432.0,11.48,0.38,154.29,682.8356492828735,21348.300824169735
47,422,270,6,405.06,67.51,0.25,0.65,3.096274410421113,196.389029456761
48,423,200,600,870.0,1.45,0.01,1.39,52.329167790573884,2494.9230982888494
49,438,60,400,2800.0,7.0,0.12,4.48,87.67252120595039,1562.829680188361
50,459,60,6,77.1,12.85,0.21,0.12,1.315087818089256,23.442445202825418
51,464,100,5498,439785.02,79.99,0.8,703.66,39186.274557050136,54118.827916964394
52,465,100,5498,54.98,0.01,0.0,0.09,374.9512402054828,4133.661051035626
53,466,20,15,691.42,46.09,2.3,1.11,5.462806345150458,308.4413209804854
54,530,30,1344,18359.04,13.66,0.46,29.37,628.0243363685368,3625.2410334221986
55,531,60,20,103.4,5.17,0.09,0.2,1.7443055930191296,83.16410327629498
56,532,30,100,1906.0,19.06,0.64,3.05,1669.5873015873015,645.3666666666667
57,533,200,670,1025.1,1.53,0.01,1.64,58.43423736614084,2785.997459755882
58,535,30,2597,61470.99,23.67,0.79,98.35,120.97300000000003,7166.682500000001
