,dest_sum,dest_mean,dest_fsi,dest_customs,dest_infra,dest_intl_ship,dest_logistic_qlty,dest_lpi,dest_timeliness,dest_track_trace,orig_sum,orig_mean,orig_fsi,orig_customs,orig_infra,orig_intl_ship,orig_logistic_qlty,orig_lpi,orig_timeliness,orig_track_trace,dest_del_date_scheduled_yr,dest_count,orig_del_date_scheduled_yr,orig_count
0,0.0,0.0,109.2,2.22222,2.22222,2.125,2.375,2.3613462231624363,3.25,2.0,0.0,0.0,70.4,2.69118,2.90476,3.07813,3.26563,3.0709137038157777,3.47458,3.03333,2006,14,2006,31
1,0.0,0.0,78.6,2.88889,2.5,3.0,2.8,2.8888545877667835,3.22222,2.9,0.0,0.0,70.4,2.69118,2.90476,3.07813,3.26563,3.0709137038157777,3.47458,3.03333,2006,12,2006,31
2,0.0,0.0,109.2,2.22222,2.22222,2.125,2.375,2.3613462231624363,3.25,2.0,0.0,0.0,39.7,3.88279,4.19133,3.90984,4.20728,4.0986952364612765,4.32727,4.11864,2006,14,2006,13
3,0.0,0.0,78.6,2.88889,2.5,3.0,2.8,2.8888545877667835,3.22222,2.9,0.0,0.0,70.4,2.69118,2.90476,3.07813,3.26563,3.0709137038157777,3.47458,3.03333,2006,12,2006,31
4,0.0,0.0,78.6,2.88889,2.5,3.0,2.8,2.8888545877667835,3.22222,2.9,0.0,0.0,70.4,2.69118,2.90476,3.07813,3.26563,3.0709137038157777,3.47458,3.03333,2006,12,2006,31
5,0.0,0.0,94.4,2.22727,2.23404,2.48837,2.38095,2.3963117324298837,2.69048,2.35556,0.0,0.0,70.4,2.69118,2.90476,3.07813,3.26563,3.0709137038157777,3.47458,3.03333,2006,11,2006,31
6,0.0,0.0,80.6,2.08333,2.0,2.4,2.44444,2.366997376405464,2.5,2.8,0.0,0.0,23.2,3.58333,3.64706,3.71875,3.75758,3.790339268121476,4.1,3.96875,2007,96,2007,2
7,0.0,0.0,78.3,2.07143,2.0,2.08333,1.91667,2.083703481064502,2.27273,2.16667,0.0,0.0,70.4,2.69118,2.90476,3.07813,3.26563,3.0709137038157777,3.47458,3.03333,2006,1,2006,31
8,0.0,0.0,94.4,2.22727,2.23404,2.48837,2.38095,2.3963117324298837,2.69048,2.35556,0.0,0.0,70.4,2.69118,2.90476,3.07813,3.26563,3.0709137038157777,3.47458,3.03333,2006,11,2006,31
9,0.0,0.0,80.6,2.08333,2.0,2.4,2.44444,2.366997376405464,2.5,2.8,2.0,0.045454545454545456,33.6,3.51919,4.07113,3.5817,3.84529,3.8436715006807303,4.11443,4.0092,2007,96,2007,44
10,0.0,0.0,80.6,2.08333,2.0,2.4,2.44444,2.366997376405464,2.5,2.8,1.0,0.013888888888888888,38.4,3.88279,4.19133,3.90984,4.20728,4.0986952364612765,4.32727,4.11864,2007,96,2007,72
11,0.0,0.0,80.6,2.08333,2.0,2.4,2.44444,2.366997376405464,2.5,2.8,1.0,0.02702702702702703,19.5,3.81818,3.71875,3.75862,3.93103,3.9138450335049244,4.32,3.96154,2007,96,2007,37
12,3.0,0.03896103896103896,95.6,2.22727,2.23404,2.48837,2.38095,2.3963117324298837,2.69048,2.35556,2.0,0.045454545454545456,33.6,3.51919,4.07113,3.5817,3.84529,3.8436715006807303,4.11443,4.0092,2007,77,2007,44
13,1.0,0.027777777777777776,89.2,1.8,1.53333,1.66667,1.66667,1.7748182178200613,2.38462,1.6,7.0,0.018867924528301886,70.8,2.69118,2.90476,3.07813,3.26563,3.0709137038157777,3.47458,3.03333,2007,36,2007,371
14,1.0,0.047619047619047616,100.9,2.08333,2.13636,2.2,2.10526,2.2114623441911885,2.6,2.15789,1.0,0.013888888888888888,38.4,3.88279,4.19133,3.90984,4.20728,4.0986952364612765,4.32727,4.11864,2007,21,2007,72
15,0.0,0.0,110.1,1.92308,1.86667,2.26667,2.21429,2.2862770519360103,2.84615,2.64286,0.0,0.0,34.1,3.51079,3.82353,3.62963,3.75969,3.7618841676528714,4.02459,3.87097,2007,35,2007,19
