,del_date_scheduled,del_date_client,del_date_recorded,pq_date,po_date,po_date_new,pq_date_new,anticipated_lead_time,actual_lead_time,delivery_delay_time
0,2006-06-02 00:00:00.000000000,2006-06-02 00:00:00.000000000,2006-06-02 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2006-03-25 00:00:00.000000000,2005-10-03 18:09:22.377600000,69 days 00:00:00.000000000,69 days 00:00:00.000000000,0 days 00:00:00.000000000
1,2006-11-14 00:00:00.000000000,2006-11-14 00:00:00.000000000,2006-11-14 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2006-10-03 12:00:00.000000000,2006-04-14 06:09:22.377600000,41 days 12:00:00.000000000,41 days 12:00:00.000000000,0 days 00:00:00.000000000
2,2006-08-27 00:00:00.000000000,2006-08-27 00:00:00.000000000,2006-08-27 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2006-06-19 00:00:00.000000000,2005-12-28 18:09:22.377600000,69 days 00:00:00.000000000,69 days 00:00:00.000000000,0 days 00:00:00.000000000
3,2006-09-01 00:00:00.000000000,2006-09-01 00:00:00.000000000,2006-09-01 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2006-07-21 12:00:00.000000000,2006-01-30 06:09:22.377600000,41 days 12:00:00.000000000,41 days 12:00:00.000000000,0 days 00:00:00.000000000
4,2006-08-11 00:00:00.000000000,2006-08-11 00:00:00.000000000,2006-08-11 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2006-06-30 12:00:00.000000000,2006-01-09 06:09:22.377600000,41 days 12:00:00.000000000,41 days 12:00:00.000000000,0 days 00:00:00.000000000
5,2006-09-28 00:00:00.000000000,2006-09-28 00:00:00.000000000,2006-09-28 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2006-08-17 12:00:00.000000000,2006-02-26 06:09:22.377600000,41 days 12:00:00.000000000,41 days 12:00:00.000000000,0 days 00:00:00.000000000
6,2007-01-08 00:00:00.000000000,2007-01-08 00:00:00.000000000,2007-01-08 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2006-10-15 12:00:00.000000000,2006-04-26 06:09:22.377600000,84 days 12:00:00.000000000,84 days 12:00:00.000000000,0 days 00:00:00.000000000
7,2006-11-24 00:00:00.000000000,2006-11-24 00:00:00.000000000,2006-11-24 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2006-10-13 12:00:00.000000000,2006-04-24 06:09:22.377600000,41 days 12:00:00.000000000,41 days 12:00:00.000000000,0 days 00:00:00.000000000
8,2006-12-07 00:00:00.000000000,2006-12-07 00:00:00.000000000,2006-12-07 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2006-10-26 12:00:00.000000000,2006-05-07 06:09:22.377600000,41 days 12:00:00.000000000,41 days 12:00:00.000000000,0 days 00:00:00.000000000
9,2007-01-30 00:00:00.000000000,2007-01-30 00:00:00.000000000,2007-01-30 00:00:00.000000000,1980-01-01 00:00:00.000000000,2006-11-13 00:00:00.000000000,2006-11-13 00:00:00.000000000,2006-05-24 18:09:22.377600000,78 days 00:00:00.000000000,78 days 00:00:00.000000000,0 days 00:00:00.000000000
10,2007-02-16 00:00:00.000000000,2007-02-16 00:00:00.000000000,2007-02-16 00:00:00.000000000,1980-01-01 00:00:00.000000000,2006-12-01 00:00:00.000000000,2006-12-01 00:00:00.000000000,2006-06-11 18:09:22.377600000,77 days 00:00:00.000000000,77 days 00:00:00.000000000,0 days 00:00:00.000000000
11,2007-01-08 00:00:00.000000000,2007-01-08 00:00:00.000000000,2007-01-08 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2006-10-15 12:00:00.000000000,2006-04-26 06:09:22.377600000,84 days 12:00:00.000000000,84 days 12:00:00.000000000,0 days 00:00:00.000000000
12,2007-01-10 00:00:00.000000000,2007-01-10 00:00:00.000000000,2007-01-10 00:00:00.000000000,1980-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,2006-12-02 14:24:00.000000000,2006-06-13 08:33:22.377600000,38 days 09:36:00.000000000,38 days 09:36:00.000000000,0 days 00:00:00.000000000
13,2007-02-27 00:00:00.000000000,2007-02-27 00:00:00.000000000,2007-02-27 00:00:00.000000000,1980-01-01 00:00:00.000000000,2006-12-22 00:00:00.000000000,2006-12-22 00:00:00.000000000,2006-07-02 18:09:22.377600000,67 days 00:00:00.000000000,67 days 00:00:00.000000000,0 days 00:00:00.000000000
