,delayed,pred
2172,0,0
9300,0,1
4203,0,0
9358,0,0
7840,0,0
9211,0,0
8130,0,0
3924,0,0
496,0,0
1414,0,0
5834,0,0
9482,0,0
9439,0,0
3,0,0
2578,0,0
4720,0,0
9624,0,0
6873,0,0
8852,1,1
2774,0,0
6680,0,1
1335,0,0
247,0,0
6579,0,0
3421,0,0
3957,0,0
3058,0,0
5704,0,0
824,0,0
3568,0,0
7377,0,0
7696,0,0
5346,0,0
9538,0,0
8265,0,0
2769,0,0
9637,0,0
2039,0,0
3654,0,0
5209,0,0
1447,0,0
9782,0,0
9950,0,0
8823,1,1
2356,0,0
7396,1,0
10068,0,0
6997,0,0
262,0,0
4217,0,0
6821,0,0
3159,0,0
943,0,0
939,0,0
4961,0,0
10179,1,1
3368,0,0
3039,0,0
1719,0,0
339,0,0
8084,1,1
8238,0,1
9754,0,0
3791,0,0
6141,0,0
5119,0,0
5639,0,0
8752,0,0
6189,0,0
4613,0,0
1969,0,0
5779,0,0
4406,0,0
1419,0,0
1722,0,0
9889,0,0
9028,0,0
2573,0,0
9169,0,0
4449,0,0
2140,0,0
4495,0,0
1086,0,0
5633,0,0
3416,0,0
6069,0,0
369,0,0
6456,0,0
6620,0,0
607,0,0
3089,0,0
8343,0,1
2933,0,0
10230,0,0
1509,0,0
10164,0,0
1060,0,0
608,0,0
8798,0,0
1791,0,0
8169,0,0
8600,0,0
5101,0,0
2528,0,0
6417,0,0
7833,0,0
8872,0,0
9456,1,1
5195,0,0
6143,0,0
8593,0,0
7293,0,0
6018,0,0
6727,1,0
8537,1,0
9550,0,0
2336,0,0
3542,0,0
5864,0,0
7,0,0
6038,1,0
7424,0,0
912,0,0
159,0,0
5908,0,0
5223,0,0
7625,0,1
1250,0,0
6203,0,0
7909,1,0
8729,1,1
2753,0,0
4436,0,0
9704,0,1
5653,0,0
2723,0,0
4455,0,0
9024,0,0
9475,0,0
9524,0,0
776,0,0
3540,0,0
4610,0,0
9697,0,0
5312,0,0
1428,0,0
9194,0,0
2694,0,0
8800,0,0
7203,0,0
5391,0,0
6044,0,0
8032,0,0
1267,0,0
2910,0,0
8327,0,0
8538,1,0
5067,0,0
6554,0,0
10298,0,0
3629,0,0
5520,0,0
5505,0,0
1197,0,0
4555,0,0
1417,0,0
5715,0,0
9457,0,1
9565,0,0
3478,0,0
10268,1,1
982,0,0
3927,0,0
4004,0,0
4274,0,0
1697,0,0
6422,0,0
2877,0,0
8958,1,1
284,0,0
2655,0,0
1570,0,0
8636,0,0
5222,0,0
5402,0,0
4893,0,0
9446,0,1
8790,0,0
8067,0,0
7019,0,0
1020,0,0
9268,1,1
9468,0,0
4270,0,0
7862,0,0
3144,0,0
1478,0,0
690,0,0
6792,0,0
3029,0,0
9661,0,1
8420,0,0
2752,1,0
8331,0,0
3091,1,0
8529,0,1
2520,0,0
4903,1,1
500,0,0
6416,0,0
8195,0,0
6196,0,0
9029,0,0
3057,1,0
7267,0,0
3696,0,0
5705,0,0
8690,0,0
2839,1,0
7702,0,0
4619,0,0
3296,0,0
7801,1,1
7626,1,0
5768,0,0
7756,0,0
9369,0,0
8827,1,0
167,0,0
7276,0,0
4050,0,1
9289,0,0
8231,0,0
1471,0,0
83,0,0
2914,0,0
4611,0,0
175,0,0
9412,0,0
2508,0,0
3728,0,0
6689,0,1
166,0,0
3079,0,0
1019,0,0
8312,0,0
9156,0,0
2363,0,0
5166,0,0
9106,0,0
1580,0,0
8438,0,0
5468,0,0
1833,0,0
7679,0,0
5439,0,0
4431,0,0
9592,0,0
7504,1,1
9723,0,0
1298,0,0
1371,0,0
7681,0,0
232,0,0
7383,0,0
1700,0,0
9107,0,0
1989,0,0
7411,0,0
4579,0,0
2006,0,0
2323,0,0
9610,0,0
2388,0,0
7388,0,0
9065,0,1
5070,0,0
5693,0,0
3328,0,0
3129,1,0
4397,0,0
1308,0,0
61,0,0
7665,0,0
1235,0,0
8986,0,1
2426,0,0
3821,0,0
423,0,0
604,0,0
2155,0,0
7192,0,0
131,0,0
6209,0,0
7137,0,0
7078,0,0
5309,0,0
1558,0,0
5551,0,0
9129,0,0
4149,0,0
503,0,0
8370,1,0
6374,1,0
8904,0,0
203,0,0
4571,0,0
5832,0,0
1476,0,0
4045,0,1
1863,0,0
417,0,0
9521,0,0
100,0,0
1766,0,0
2836,0,0
5054,0,0
45,0,0
9853,0,0
1672,0,0
1854,0,0
4712,0,0
5955,0,0
7441,1,0
4769,0,0
2675,0,0
8378,0,1
1775,0,0
4666,0,0
6836,0,0
9098,0,0
2272,0,0
4788,0,0
122,1,0
2909,1,0
4462,0,0
4119,0,0
3395,0,0
3484,0,0
10058,1,0
5214,0,0
2680,0,0
2977,0,0
8541,0,0
2344,0,0
6925,1,0
5526,0,0
6377,0,0
8972,1,1
9388,0,0
9834,0,1
10043,1,1
1663,0,0
10159,0,0
1409,0,0
4867,0,1
6007,0,0
825,0,0
7566,0,0
9778,1,1
3288,0,0
479,0,0
8883,0,0
3576,0,0
2529,0,0
9893,0,0
1893,0,0
9830,0,0
5711,0,0
2476,0,0
8470,1,1
8579,0,0
4169,0,0
5046,1,1
9672,0,0
9984,1,1
318,0,0
5976,0,0
4222,0,0
1564,0,0
6296,0,0
10285,0,0
235,0,0
9393,0,0
6600,0,0
3018,0,0
538,0,0
10093,0,0
2899,0,0
811,0,0
4386,0,0
4194,0,0
1704,0,0
8959,1,1
9427,0,0
7794,1,1
7936,1,1
1831,0,0
4158,0,0
10251,0,0
741,0,0
1291,0,0
6706,0,1
2391,0,0
9052,0,0
3976,0,0
2469,0,0
8490,0,0
6300,0,1
3637,0,0
2840,0,1
10269,0,0
2506,0,0
6576,0,0
3359,0,0
700,0,0
7302,0,0
4907,0,0
4325,0,0
1917,0,0
9425,1,1
4618,1,1
1400,0,0
2783,0,0
5649,0,0
6273,0,0
850,0,0
4077,0,0
274,0,0
1841,0,0
199,0,0
320,0,0
1206,0,0
8556,0,1
2017,0,0
6734,1,1
7514,0,0
5097,0,0
7890,0,0
8259,1,1
1356,0,0
4670,0,0
3232,0,0
2798,0,0
6357,0,0
2318,0,0
