,delayed,pred
8852,1,1
8823,1,1
10179,1,1
8084,1,1
9456,1,1
8729,1,1
10268,1,1
8958,1,1
9268,1,1
4903,1,1
7801,1,1
7504,1,1
8972,1,1
10043,1,1
9778,1,1
8470,1,1
5046,1,1
9984,1,1
8959,1,1
7794,1,1
7936,1,1
9425,1,1
4618,1,1
6734,1,1
8259,1,1
6425,1,1
7571,1,1
7385,1,1
6912,1,1
7897,1,1
9232,1,1
9175,1,1
3459,1,1
10262,1,1
6909,1,1
4291,1,1
10215,1,1
9633,1,1
8893,1,1
10306,1,1
10152,1,1
8544,1,1
9182,1,1
9908,1,1
7361,1,1
7605,1,1
8780,1,1
6677,1,1
9806,1,1
8698,1,1
7947,1,1
8264,1,1
7814,1,1
9382,1,1
8318,1,1
6067,1,1
3370,1,1
8347,1,1
7031,1,1
10065,1,1
9837,1,1
9436,1,1
8034,1,1
8817,1,1
8559,1,1
7825,1,1
8833,1,1
8610,1,1
7865,1,1
7871,1,1
9800,1,1
8131,1,1
4324,1,1
9762,1,1
6944,1,1
7900,1,1
2741,1,1
2782,1,1
9924,1,1
9454,1,1
9383,1,1
7857,1,1
8056,1,1
6652,1,1
3522,1,1
8547,1,1
8208,1,1
9955,1,1
8968,1,1
6998,1,1
8308,1,1
3555,1,1
9748,1,1
6664,1,1
9985,1,1
9437,1,1
4145,1,1
9417,1,1
6693,1,1
9988,1,1
5835,1,1
8984,1,1
9791,1,1
8197,1,1
6935,1,1
7573,1,1
7929,1,1
10192,1,1
6968,1,1
5377,1,1
3118,1,1
9775,1,1
6954,1,1
9766,1,1
8860,1,1
6110,1,1
6884,1,1
8320,1,1
9957,1,1
4641,1,1
7430,1,1
8542,1,1
9054,1,1
3246,1,1
9216,1,1
6882,1,1
7148,1,1
9786,1,1
7016,1,1
3486,1,1
8982,1,1
8879,1,1
9303,1,1
7147,1,1
8843,1,1
4362,1,1
9418,1,1
7312,1,1
4235,1,1
3681,1,1
8303,1,1
9818,1,1
7843,1,1
7398,1,1
8357,1,1
5357,1,1
6437,1,1
8561,1,1
7786,1,1
6015,1,1
9745,1,1
9494,1,1
6995,1,1
7165,1,1
10207,1,1
9992,1,1
7677,1,1
7366,1,1
6963,1,1
6354,1,1
7217,1,1
8791,1,1
7957,1,1
7572,1,1
6096,1,1
10162,1,1
6875,1,1
7133,1,1
8332,1,1
9160,1,1
8517,1,1
6871,1,1
9149,1,1
9983,1,1
9735,1,1
10242,1,1
7397,1,1
8521,1,1
5694,1,1
8973,1,1
8141,1,1
3680,1,1
8254,1,1
7122,1,1
8345,1,1
5662,1,1
9713,1,1
8995,1,1
7359,1,1
10186,1,1
9458,1,1
9421,1,1
7610,1,1
4819,1,1
8766,1,1
9239,1,1
7581,1,1
8250,1,1
7439,1,1
9705,1,1
8292,1,1
1696,1,1
10010,1,1
8793,1,1
8021,1,1
