,fsi,lpi
0,Sudan,Sudan
1,Congo Democratic Republic,
2,Cote d'Ivoire,
3,Iraq,Iraq
4,Zimbabwe,Zimbabwe
5,Chad,Chad
6,Somalia,Somalia
7,Haiti,Haiti
8,Pakistan,Pakistan
9,Afghanistan,Afghanistan
10,Guinea,Guinea
11,Liberia,Liberia
12,Central African Republic,Central African Republic
13,North Korea,
14,Burundi,Burundi
15,Sierra Leone,
16,Yemen,
17,Myanmar,Myanmar
18,Bangladesh,Bangladesh
19,Nepal,Nepal
20,Uganda,
21,Nigeria,Nigeria
22,Uzbekistan,Uzbekistan
23,Rwanda,Rwanda
24,Sri Lanka,Sri Lanka
25,Ethiopia,Ethiopia
26,Colombia,Colombia
27,Kyrgyz Republic,Kyrgyz Republic
28,Malawi,Malawi
29,Burkina Faso,Burkina Faso
30,Egypt,
31,Indonesia,Indonesia
32,Kenya,Kenya
33,Syria,
34,Bosnia and Herzegovina,Bosnia and Herzegovina
35,Cameroon,Cameroon
36,Angola,Angola
37,Togo,Togo
38,Bhutan,Bhutan
39,Laos,
40,Mauritania,Mauritania
41,Tajikistan,Tajikistan
42,Russia,
43,Niger,Niger
44,Turkmenistan,Turkmenistan
45,Guinea Bissau,
46,Cambodia,Cambodia
47,Dominican Republic,Dominican Republic
48,Papua New Guinea,Papua New Guinea
49,Belarus,Belarus
50,Guatemala,Guatemala
51,Equatorial Guinea,Equatorial Guinea
52,Iran,
53,Eritrea,Eritrea
54,Serbia,Serbia
55,Bolivia,Bolivia
56,China,China
57,Moldova,Moldova
58,Nicaragua,Nicaragua
59,Georgia,Georgia
60,Azerbaijan,Azerbaijan
61,Cuba,Cuba
62,Ecuador,Ecuador
63,Venezuela,
64,Lebanon,Lebanon
65,Zambia,Zambia
66,Israel and West Bank,
67,Peru,Peru
68,Philippines,Philippines
69,Vietnam,Vietnam
70,Tanzania,Tanzania
71,Algeria,Algeria
72,Saudi Arabia,Saudi Arabia
73,Jordan,Jordan
74,Honduras,Honduras
75,Morocco,
76,El Salvador,El Salvador
77,Macedonia,
78,Thailand,Thailand
79,Mozambique,Mozambique
80,Mali,Mali
81,Turkey,Turkey
82,Gambia,
83,Gabon,Gabon
84,Mexico,Mexico
85,Ukraine,Ukraine
86,Paraguay,Paraguay
87,Kazakhstan,Kazakhstan
88,Armenia,Armenia
89,Benin,Benin
90,Namibia,Namibia
91,Cyprus,Cyprus
92,India,India
93,Albania,
94,Libya,Libya
95,Botswana,Botswana
96,Jamaica,Jamaica
97,Malaysia,Malaysia
98,Senegal,Senegal
99,Tunisia,Tunisia
100,Brazil,Brazil
101,Romania,Romania
102,Bulgaria,Bulgaria
103,Croatia,Croatia
104,Kuwait,Kuwait
105,Ghana,Ghana
106,Panama,Panama
107,Mongolia,Mongolia
108,Latvia,Latvia
109,South Africa,South Africa
110,Estonia,Estonia
111,Slovak Republic,Slovak Republic
112,Lithuania,Lithuania
113,Costa Rica,Costa Rica
114,Poland,Poland
115,Hungary,Hungary
116,Oman,Oman
117,Mauritius,Mauritius
118,Czech Republic,Czech Republic
119,Uruguay,Uruguay
120,Greece,Greece
121,Argentina,Argentina
122,South Korea,
123,Germany,Germany
124,Spain,Spain
125,Slovenia,Slovenia
126,Italy,Italy
127,United States,United States
128,France,France
129,United Kingdom,United Kingdom
130,Portugal,Portugal
131,Chile,Chile
132,Singapore,Singapore
133,Netherlands,Netherlands
134,Japan,Japan
135,Austria,Austria
136,Denmark,Denmark
137,Belgium,Belgium
138,Canada,Canada
139,Australia,Australia
140,New Zealand,New Zealand
141,Switzerland,Switzerland
142,Ireland,Ireland
143,Finland,Finland
144,Sweden,Sweden
145,Norway,Norway
146,Timor-Leste,
147,Congo Republic,
148,Solomon Islands,Solomon Islands
149,Swaziland,
150,Lesotho,Lesotho
151,Cape Verde,
152,Maldives,Maldives
153,Djibouti,Djibouti
154,Sao Tome and Principe,
155,Comoros,Comoros
156,Madagascar,Madagascar
157,Fiji,Fiji
158,Suriname,
159,Samoa,
160,Micronesia,
161,Guyana,Guyana
162,Grenada,
163,Seychelles,
164,Brunei Darussalam,
165,Belize,
166,Trinidad and Tobago,
167,Antigua and Barbuda,
168,Bahamas,
169,Barbados,
170,Bahrain,Bahrain
171,Montenegro,Montenegro
172,Qatar,Qatar
173,United Arab Emirates,United Arab Emirates
174,Malta,Malta
175,Luxembourg,Luxembourg
176,Iceland,Iceland
177,South Sudan,
178,,"Bahamas, The"
179,,"Congo, Dem. Rep."
180,,"Congo, Rep."
181,,Côte d'Ivoire
182,,"Egypt, Arab Rep."
183,,"Gambia, The"
184,,Guinea-Bissau
185,,"Hong Kong SAR, China"
186,,Israel
187,,"Korea, Rep."
188,,Lao PDR
189,,"Macedonia, FYR"
190,,Russian Federation
191,,Sco Tomi and Principe
192,,Syrian Arab Republic
193,,Taiwan
194,,"Venezuela, RB"
195,,"Yemen, Rep."
